respondent_id,date,question,selected_option,region,age_group,gender,education,employment
R0001,2024-03-15,Which option do you prefer for the upcoming election?,,West,51+,Female,Bachelor's,Employed
R0002,2024-01-30,Which option do you prefer for the upcoming election?,Option D,East,51+,Female,Master's,Employed
R0003,2024-02-18,Which option do you prefer for the upcoming election?,Option B,South,18-25,Male,Bachelor's,Employed
R0004,2024-02-16,Which option do you prefer for the upcoming election?,Option B,East,36-50,Male,Bachelor's,Employed
R0005,2024-03-13,Which option do you prefer for the upcoming election?,Option C,East,26-35,Non-binary,Bachelor's,Self-employed
R0006,2024-03-24,Which option do you prefer for the upcoming election?,Option A,South,51+,Non-binary,Master's,Employed
R0007,2024-02-05,Which option do you prefer for the upcoming election?,Option D,West,26-35,Male,Bachelor's,Employed
R0008,2024-03-03,Which option do you prefer for the upcoming election?,Option A,South,36-50,Male,Bachelor's,Employed
R0009,2024-03-12,Which option do you prefer for the upcoming election?,Option D,South,36-50,Female,Master's,Student
R0010,2024-01-26,Which option do you prefer for the upcoming election?,Option D,West,18-25,Male,Bachelor's,Employed
R0011,2024-03-11,Which option do you prefer for the upcoming election?,Option A,North,26-35,Female,High School,Self-employed
R0012,2024-02-04,Which option do you prefer for the upcoming election?,Option C,North,36-50,Male,High School,Self-employed
R0013,2024-03-12,Which option do you prefer for the upcoming election?,Option C,East,36-50,Male,Bachelor's,Employed
R0014,2024-03-26,Which option do you prefer for the upcoming election?,Option C,West,26-35,Male,Bachelor's,Employed
R0015,2024-01-14,Which option do you prefer for the upcoming election?,Option C,East,36-50,Male,PhD,Self-employed
R0016,2024-02-21,Which option do you prefer for the upcoming election?,Option A,East,26-35,Male,High School,Employed
R0017,2024-02-05,Which option do you prefer for the upcoming election?,Option C,Central,26-35,Female,High School,Employed
R0018,2024-02-26,Which option do you prefer for the upcoming election?,Option C,Central,18-25,Male,High School,Unemployed
R0019,2024-03-29,Which option do you prefer for the upcoming election?,Option B,Central,51+,Female,High School,Self-employed
R0020,2024-03-10,Which option do you prefer for the upcoming election?,Option A,North,26-35,Female,High School,Employed
R0021,2024-02-01,Which option do you prefer for the upcoming election?,Option D,East,26-35,Male,High School,Employed
R0022,2024-01-03,Which option do you prefer for the upcoming election?,Option C,North,26-35,Male,Bachelor's,Employed
R0023,2024-03-27,Which option do you prefer for the upcoming election?,Option B,North,18-25,Non-binary,Bachelor's,Unemployed
R0024,2024-03-10,Which option do you prefer for the upcoming election?,Option B,Central,26-35,Female,Bachelor's,Employed
R0025,2024-03-10,Which option do you prefer for the upcoming election?,Option C,West,18-25,Male,High School,Self-employed
R0026,2024-01-03,Which option do you prefer for the upcoming election?,Option C,East,36-50,Female,High School,Employed
R0027,2024-03-11,Which option do you prefer for the upcoming election?,Option B,West,26-35,Male,Master's,Self-employed
R0028,2024-02-26,Which option do you prefer for the upcoming election?,Option C,West,51+,Male,Bachelor's,Self-employed
R0029,2024-02-29,Which option do you prefer for the upcoming election?,Option A,North,18-25,Female,Bachelor's,Employed
R0030,2024-01-09,Which option do you prefer for the upcoming election?,Option C,North,18-25,Male,Master's,Unemployed
R0031,2024-01-24,Which option do you prefer for the upcoming election?,Option C,North,26-35,Female,Master's,Self-employed
R0032,2024-03-29,Which option do you prefer for the upcoming election?,Option A,West,18-25,Male,Master's,Student
R0033,2024-03-01,Which option do you prefer for the upcoming election?,,East,51+,Male,Bachelor's,Employed
R0034,2024-01-08,Which option do you prefer for the upcoming election?,Option B,North,18-25,Male,Bachelor's,Employed
R0035,2024-01-30,Which option do you prefer for the upcoming election?,Option A,East,36-50,Female,High School,Employed
R0036,2024-03-04,Which option do you prefer for the upcoming election?,Option C,Central,26-35,Female,Bachelor's,Employed
R0037,2024-01-17,Which option do you prefer for the upcoming election?,Option C,North,18-25,Female,Bachelor's,Employed
R0038,2024-01-24,Which option do you prefer for the upcoming election?,Option A,West,51+,Female,Master's,Employed
R0039,2024-03-25,Which option do you prefer for the upcoming election?,Option A,Central,26-35,Non-binary,PhD,Self-employed
R0040,2024-02-15,Which option do you prefer for the upcoming election?,Option C,North,26-35,Male,Bachelor's,Unemployed
R0041,2024-01-17,Which option do you prefer for the upcoming election?,Option C,South,36-50,Non-binary,High School,Employed
R0042,2024-02-19,Which option do you prefer for the upcoming election?,Option B,North,18-25,Female,Bachelor's,Employed
R0043,2024-01-08,Which option do you prefer for the upcoming election?,Option A,North,36-50,Male,High School,Student
R0044,2024-02-20,Which option do you prefer for the upcoming election?,Option C,West,51+,Male,Bachelor's,Employed
R0045,2024-02-11,Which option do you prefer for the upcoming election?,Option A,North,18-25,Non-binary,Master's,Self-employed
