respondent_id,date,question,selected_option,region,age_group,gender,education,employment,week,month
R0001,2024-03-15,Which option do you prefer for the upcoming election?,Option C,West,51+,Female,Bachelor'S,Employed,11,March
R0002,2024-01-30,Which option do you prefer for the upcoming election?,Option D,East,51+,Female,Master'S,Employed,5,January
R0003,2024-02-18,Which option do you prefer for the upcoming election?,Option B,South,18-25,Male,Bachelor'S,Employed,7,February
R0004,2024-02-16,Which option do you prefer for the upcoming election?,Option B,East,36-50,Male,Bachelor'S,Employed,7,February
R0005,2024-03-13,Which option do you prefer for the upcoming election?,Option C,East,26-35,Non-Binary,Bachelor'S,Self-Employed,11,March
R0006,2024-03-24,Which option do you prefer for the upcoming election?,Option A,South,51+,Non-Binary,Master'S,Employed,12,March
R0007,2024-02-05,Which option do you prefer for the upcoming election?,Option D,West,26-35,Male,Bachelor'S,Employed,6,February
R0008,2024-03-03,Which option do you prefer for the upcoming election?,Option A,South,36-50,Male,Bachelor'S,Employed,9,March
R0009,2024-03-12,Which option do you prefer for the upcoming election?,Option D,South,36-50,Female,Master'S,Student,11,March
R0010,2024-01-26,Which option do you prefer for the upcoming election?,Option D,West,18-25,Male,Bachelor'S,Employed,4,January
R0011,2024-03-11,Which option do you prefer for the upcoming election?,Option A,North,26-35,Female,High School,Self-Employed,11,March
R0012,2024-02-04,Which option do you prefer for the upcoming election?,Option C,North,36-50,Male,High School,Self-Employed,5,February
R0013,2024-03-12,Which option do you prefer for the upcoming election?,Option C,East,36-50,Male,Bachelor'S,Employed,11,March
R0014,2024-03-26,Which option do you prefer for the upcoming election?,Option C,West,26-35,Male,Bachelor'S,Employed,13,March
R0015,2024-01-14,Which option do you prefer for the upcoming election?,Option C,East,36-50,Male,Phd,Self-Employed,2,January
R0016,2024-02-21,Which option do you prefer for the upcoming election?,Option A,East,26-35,Male,High School,Employed,8,February
R0017,2024-02-05,Which option do you prefer for the upcoming election?,Option C,Central,26-35,Female,High School,Employed,6,February
R0018,2024-02-26,Which option do you prefer for the upcoming election?,Option C,Central,18-25,Male,High School,Unemployed,9,February
R0019,2024-03-29,Which option do you prefer for the upcoming election?,Option B,Central,51+,Female,High School,Self-Employed,13,March
